% Model,Untitled.mph
% Version,COMSOL 6.3.0.335
% Date,"Sep 30 2025, 16:39"
% Dimension,2
% Nodes,13923
% Expressions,3
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa)
0.9955071529943701,0.49397560645219313,0.02394762445460449,2.1939910129560934E-5,-0.22519881924725943
1,0.49712078450691566,0.011510034077794338,1.16258403209962E-5,-0.2649991943940211
0.9933110367892977,0.4971230587737616,0.011470502620047755,4.432458481693534E-6,-0.2035038312181034
1,0.4929620847531152,0.027972383948028163,4.065435513606462E-5,-0.266084603410676
0.9767938418680321,0.4935902738233477,0.025401385541656798,7.098852848281899E-6,-0.06945243384388976
0.9799331103678932,0.49712868308941605,0.011423610056698631,1.626548317081695E-6,-0.0936216152710514
0.9732441471571907,0.4971320331382245,0.011403584528763848,1.2543251525959448E-6,-0.0395573445426068
0.9837564339662656,0.4931880669347799,0.027002435635256516,1.109778542637796E-5,-0.12646763205705655
0.9866220735785953,0.49712587093158883,0.011444127036869832,2.3954633010947474E-6,-0.14802186672324869
0.9899399753925621,0.4930285293506249,0.02765306303411152,1.7257692627393113E-5,-0.17790226120132566
0.9947130860498419,0.489607460071126,0.04109760475873106,4.589315438105598E-5,-0.22008037333405286
1,0.48679915307156985,0.05207210534326636,8.41425325944404E-5,-0.2662284814124284
0.994613735107574,-0.49442304038679347,0.024176404965672596,-4.064103136613183E-4,-0.1064209269024035
0.9933110367892977,-0.4974342003354342,0.01113486560651418,-8.224291300983781E-5,-0.02253182623557242
1,-0.4974342003354342,0.011807642547678633,-2.3834587719783504E-4,-0.22713509693173953
1,-0.49346787617514964,0.02900642450875372,-8.78737988638131E-4,-0.2582268428566809
0.9697209421745042,0.49345473146948887,0.02592099376931106,5.872760157295386E-6,-0.012101356009972903
0.9665551839464885,0.497122868280016,0.011434526956121089,1.0501858131406814E-6,0.014444024515018286
0.9850773862851167,0.4895984187102118,0.04108214262015712,2.572031108436922E-5,-0.1387948901235071
0.9725741630966972,0.4889904364117156,0.04340923557366094,1.7531045133922372E-5,-0.0364560052468312
0.9791162901275013,0.48944760551059735,0.04164746489712803,2.0209955535730516E-5,-0.08978769080100435
0.9889721708371769,0.4872735958542829,0.050159766954308814,4.4166558651151235E-5,-0.17216531357525042
0.9941328085376542,0.48380671868979236,0.06361496244115462,8.037889621843765E-5,-0.2164371394537643
1,0.47977035188131056,0.07915254182449565,1.3083664201570704E-4,-0.2662656998752755
0.982959754955345,-0.4940255611980593,0.024897086262570155,-1.6696202567590153E-4,0.028153264515806627
0.979933110367893,-0.4972870642459592,0.01127047571768771,-2.7531107197423123E-5,0.07368977209284674
0.9866220735785953,-0.4973625102793532,0.011132934816030917,-4.280731692518469E-5,0.035624576676944034
0.9894017207075732,-0.49392824475450803,0.02573457751742833,-2.8276650272518526E-4,-0.033349068962212104
0.9934758762965207,-0.4900244889581629,0.04245693579367937,-8.991277361706077E-4,-0.13194904919726733
1,-0.4873312163705753,0.054478365027677444,-0.0018849525364966306,-0.26676409414474683
0.9633945460868054,0.4934397804431107,0.02596934054269254,5.113540323722218E-6,0.03907632618287118
0.959866220735786,0.4971089799888245,0.011484929352899883,9.385936786706897E-7,0.06840195574469435
0.9502065344676479,0.4933469300175574,0.026315562042985814,4.431290249584741E-6,0.14553554266479166
0.9531772575250841,0.49709567918960723,0.01153342689061176,8.70698229155874E-7,0.12233608899142974
0.9464882943143818,0.497085292385672,0.011570633209795326,8.308896933108594E-7,0.17624381100765327
0.9570469659250034,0.4932395832086655,0.026746756854369783,4.909718981583338E-6,0.09030989564440184
0.9660508029550341,0.48876433982985273,0.04427161868917689,1.5541120721237283E-5,0.01647893221272144
0.9687592801875039,0.4837758819527925,0.06360808126183824,3.312790423531247E-5,-0.006656409356251722
0.9824535945024622,0.48452294494427667,0.060784337763938046,4.534884140079098E-5,-0.1186153575052973
0.9756457438253994,0.48404478419455166,0.06259881061261417,3.8150805225551614E-5,-0.06283817065180725
0.9877940236156296,0.4806949416554452,0.07553906640183887,7.835073528466691E-5,-0.1637984612453838
0.9937291020571403,0.47608647845778823,0.09314052593555676,1.264054452689855E-4,-0.21392603348599196
1,0.472151772511904,0.10803395056673197,1.765064023694416E-4,-0.2662642999605138
0.9432761920730405,0.4933661777775424,0.026231000992964586,4.215734731731818E-6,0.20141507856335153
0.9397993311036799,0.4970778978090118,0.011596136272117913,8.093097868002785E-7,0.23012224781684942
0.9368323312132634,0.4932896786886487,0.026523284576202056,4.211688226683791E-6,0.25331017457634003
0.9331103678929775,0.4970725364660478,0.011613668125725502,7.99123805481563E-7,0.2839677374124916
0.9757139079954517,-0.4939437641966009,0.024920683692400053,-1.083875220667452E-4,0.0761581691523127
0.9732441471571907,-0.4972192262401398,0.011433476897305239,-1.9250267529063685E-5,0.10797286476635497
0.9800635031267116,-0.4900764519384846,0.040944511915616266,-3.586888758704125E-4,0.020722744765026054
0.9867153311839933,-0.4904943152675156,0.03975765404526258,-5.104818566032244E-4,-0.038385827903177454
0.9892796846486531,-0.4860186056430877,0.05831119300792677,-0.0011202019139726585,-0.1000702204271515
0.9943053139343886,-0.48425368272594715,0.06607834157370078,-0.0017584617233547958,-0.17803605261585467
1,-0.4802322506421648,0.08289130288758974,-0.002971707799871315,-0.26598588070858126
0.9596037027785574,0.4884299592847125,0.045556630133057434,1.4710409196887191E-5,0.06862218702420342
0.9465052255515528,0.4885628421730703,0.04500948046468919,1.2634065554113583E-5,0.17447914152239521
0.9531422237542584,0.48827901205872726,0.0461281655066031,1.3966934214978281E-5,0.12083863108334562
0.9626724891266382,0.4830743103368579,0.06628740301991655,3.208548525051509E-5,0.04264455696414483
0.9660566164955172,0.47890053047422254,0.08228958028442088,5.104479184444949E-5,0.014328124032404285
