1.000000000000000000e+01,1.214802622795104980e+00,3.592237532138824463e-01,5.211786627769470215e-01,2.039232492446899414e+00,5.254393815994262695e-01,6.847884058952331543e-01,1.156810760498046875e+00,3.927205502986907959e-01,1.254180669784545898e+00,4.893621504306793213e-01,5.605211853981018066e-01,1.627567887306213379e+00,4.589571356773376465e-01,3.597328662872314453e-01,9.316155314445495605e-01,2.687014102935791016e+00,1.133816957473754883e+00,1.271281719207763672e+00,3.307083606719970703e+00,1.227176070213317871e+00,1.525369048118591309e+00,2.741508722305297852e+00,9.895049333572387695e-01,3.219122409820556641e+00,1.653013825416564941e+00,1.702555298805236816e+00,3.416982650756835938e+00,1.420170903205871582e+00,7.785832881927490234e-01,1.851363182067871094e+00,1.351855969429016113e+01,4.209609985351562500e+00,4.211456537246704102e+00,4.176082849502563477e+00,4.217142343521118164e+00,4.183101892471313477e+00,4.169858932495117188e+00,4.192766189575195312e+00,4.167963027954101562e+00,4.628315687179565430e+00,4.184540510177612305e+00,4.179018020629882812e+00,4.182679414749145508e+00,4.741269826889038086e+00,4.167227268218994141e+00
1.400000000000000000e+01,4.591908156871795654e-01,6.405158042907714844e-01,7.287874817848205566e-01,8.139908909797668457e-01,1.916641741991043091e-01,9.033953547477722168e-01,5.474302768707275391e-01,2.999517917633056641e-01,3.151777088642120361e-01,4.701300561428070068e-01,7.431315779685974121e-01,1.177809715270996094e+00,6.522385478019714355e-01,3.973469734191894531e-01,2.204332053661346436e-01,1.328575611114501953e+00,1.836296319961547852e+00,2.167050600051879883e+00,1.531339526176452637e+00,4.485362172126770020e-01,2.206184625625610352e+00,1.491273403167724609e+00,8.562278151512145996e-01,7.330254316329956055e-01,1.316517829895019531e+00,1.764587163925170898e+00,3.012295722961425781e+00,1.621800541877746582e+00,7.618365287780761719e-01,5.878171920776367188e-01,4.262615203857421875e+00,4.169661998748779297e+00,4.156000137329101562e+00,4.422500610351562500e+00,4.173974514007568359e+00,4.151628732681274414e+00,4.212851047515869141e+00,4.152312755584716797e+00,4.165901422500610352e+00,4.205585956573486328e+00,4.165901184082031250e+00,4.153078317642211914e+00,4.229328393936157227e+00,4.201689958572387695e+00,4.856204271316528320e+00
2.000000000000000000e+01,2.219166457653045654e-01,2.627286314964294434e-01,2.395035475492477417e-01,3.247874379158020020e-01,1.969306319952011108e-01,3.470675945281982422e-01,3.164460659027099609e-01,2.367083728313446045e-01,1.745653748512268066e-01,1.301508992910385132e-01,5.233398675918579102e-01,6.305137872695922852e-01,3.037890493869781494e-01,5.217234492301940918e-01,4.447536170482635498e-01,7.912214994430541992e-01,1.027134418487548828e+00,7.113949060440063477e-01,1.204989433288574219e+00,6.225712299346923828e-01,1.033324480056762695e+00,1.015193581581115723e+00,8.910320997238159180e-01,6.524535417556762695e-01,4.386607408523559570e-01,1.247258424758911133e+00,2.012091159820556641e+00,1.109299421310424805e+00,1.640907883644104004e+00,1.366506457328796387e+00,4.292388439178466797e+00,4.178014278411865234e+00,4.153164386749267578e+00,4.211278676986694336e+00,4.156152725219726562e+00,4.163995504379272461e+00,4.193907499313354492e+00,4.147572278976440430e+00,4.535482168197631836e+00,4.200001239776611328e+00,4.163316249847412109e+00,4.226238250732421875e+00,4.211017131805419922e+00,4.205410480499267578e+00,4.306817531585693359e+00
2.900000000000000000e+01,1.589864939451217651e-01,2.244100272655487061e-01,5.618933439254760742e-01,8.933357596397399902e-01,2.932745516300201416e-01,3.390491604804992676e-01,2.946871817111968994e-01,1.203176304697990417e-01,1.170959994196891785e-01,1.203471571207046509e-01,2.842579782009124756e-01,2.285454869270324707e-01,2.650559842586517334e-01,2.332942783832550049e-01,2.936735153198242188e-01,6.642785072326660156e-01,8.595271110534667969e-01,1.440297007560729980e+00,2.696985244750976562e+00,9.719207286834716797e-01,1.202502608299255371e+00,1.217718482017517090e+00,3.911093473434448242e-01,4.522214531898498535e-01,4.437131881713867188e-01,9.191852211952209473e-01,8.675978183746337891e-01,1.091054677963256836e+00,1.076944828033447266e+00,1.012493848800659180e+00,4.176654577255249023e+00,4.149221420288085938e+00,4.387293100357055664e+00,4.166342973709106445e+00,4.134659528732299805e+00,4.189531564712524414e+00,4.170810699462890625e+00,4.150651693344116211e+00,4.218811750411987305e+00,4.160586357116699219e+00,4.148378610610961914e+00,4.189409255981445312e+00,4.186463117599487305e+00,4.176052331924438477e+00,4.188641309738159180e+00
4.200000000000000000e+01,2.323974668979644775e-01,1.107898131012916565e-01,1.144985258579254150e-01,1.371888667345046997e-01,9.438207000494003296e-02,1.284607052803039551e-01,1.709078252315521240e-01,1.122249960899353027e-01,1.024765670299530029e-01,6.991330534219741821e-02,1.037981212139129639e-01,7.602211087942123413e-02,1.217258498072624207e-01,1.067420616745948792e-01,1.395142227411270142e-01,9.423835277557373047e-01,4.894573688507080078e-01,6.177346706390380859e-01,5.898587703704833984e-01,3.776707649230957031e-01,3.876523971557617188e-01,6.700594425201416016e-01,3.960599899291992188e-01,3.581490516662597656e-01,3.054388761520385742e-01,3.618917465209960938e-01,2.729244232177734375e-01,4.738438129425048828e-01,3.927268981933593750e-01,5.400813817977905273e-01,4.181583881378173828e+00,4.136420011520385742e+00,4.194120883941650391e+00,4.157935380935668945e+00,4.138647794723510742e+00,4.173575639724731445e+00,4.145668268203735352e+00,4.149863958358764648e+00,4.219433307647705078e+00,4.164293766021728516e+00,4.218329429626464844e+00,4.169347763061523438e+00,4.171190738677978516e+00,4.164364576339721680e+00,4.161457061767578125e+00
6.100000000000000000e+01,6.856741011142730713e-02,1.375210136175155640e-01,6.892976909875869751e-02,8.714124560356140137e-02,6.146269291639328003e-02,7.898151874542236328e-02,6.276860833168029785e-02,6.638903170824050903e-02,8.899544924497604370e-02,1.156995743513107300e-01,5.959567055106163025e-02,1.037503406405448914e-01,1.539737284183502197e-01,7.625342160463333130e-02,9.308046102523803711e-02,2.878320217132568359e-01,2.961480617523193359e-01,3.386778831481933594e-01,3.457670211791992188e-01,3.485543727874755859e-01,3.395955562591552734e-01,2.677369117736816406e-01,2.335827350616455078e-01,4.841694831848144531e-01,6.274502873420715332e-01,2.905973196029663086e-01,4.104402661323547363e-01,4.861334562301635742e-01,3.534474968910217285e-01,5.118763446807861328e-01,4.142114400863647461e+00,4.139780282974243164e+00,4.177504777908325195e+00,4.156188249588012695e+00,4.206716775894165039e+00,4.173565626144409180e+00,4.128913402557373047e+00,4.201579570770263672e+00,4.154248952865600586e+00,4.143063068389892578e+00,4.190670490264892578e+00,4.169263839721679688e+00,4.147436618804931641e+00,4.152994871139526367e+00,4.150063037872314453e+00
8.800000000000000000e+01,5.175053700804710388e-02,4.143089801073074341e-02,4.358255490660667419e-02,5.494554713368415833e-02,3.360958024859428406e-02,4.953105002641677856e-02,5.395783483982086182e-02,4.479487240314483643e-02,5.571131408214569092e-02,5.629710853099822998e-02,4.734980314970016479e-02,6.309773027896881104e-02,5.942276492714881897e-02,6.439408659934997559e-02,8.305805176496505737e-02,2.239872217178344727e-01,1.695545911788940430e-01,1.750960350036621094e-01,2.492686510086059570e-01,1.595345735549926758e-01,1.909725666046142578e-01,1.809067726135253906e-01,1.874891519546508789e-01,3.238606452941894531e-01,2.633694410324096680e-01,2.304179668426513672e-01,3.081281185150146484e-01,2.651743888854980469e-01,3.289523124694824219e-01,3.795317411422729492e-01,4.159266710281372070e+00,4.220587730407714844e+00,4.173331737518310547e+00,4.164865255355834961e+00,4.186424016952514648e+00,4.161746740341186523e+00,4.151725053787231445e+00,4.209405899047851562e+00,4.152177095413208008e+00,4.617104530334472656e+00,4.171047449111938477e+00,4.162759065628051758e+00,4.154412746429443359e+00,4.157536029815673828e+00,4.173464298248291016e+00
1.270000000000000000e+02,6.611923128366470337e-02,7.489582151174545288e-02,4.017722234129905701e-02,4.736155644059181213e-02,5.557421967387199402e-02,4.502968862652778625e-02,6.145843118429183960e-02,7.709573954343795776e-02,4.122230038046836853e-02,5.464099347591400146e-02,4.523947834968566895e-02,5.086532235145568848e-02,4.420797899365425110e-02,4.414825513958930969e-02,5.451962724328041077e-02,2.002936601638793945e-01,3.511251211166381836e-01,1.975921392440795898e-01,2.032761573791503906e-01,2.257736921310424805e-01,2.084083557128906250e-01,2.965036630630493164e-01,5.192997455596923828e-01,2.041211128234863281e-01,3.099257946014404297e-01,2.098262310028076172e-01,2.122236490249633789e-01,1.796700954437255859e-01,2.027664184570312500e-01,2.497708797454833984e-01,4.175679206848144531e+00,4.191775083541870117e+00,4.158002138137817383e+00,4.453155517578125000e+00,4.183883905410766602e+00,4.148302555084228516e+00,4.220409631729125977e+00,4.166665554046630859e+00,4.159374237060546875e+00,4.214397192001342773e+00,4.163556575775146484e+00,4.156088352203369141e+00,4.228252410888671875e+00,4.720164299011230469e+00,4.155458211898803711e+00
1.830000000000000000e+02,4.793706908822059631e-02,4.591559618711471558e-02,9.407809376716613770e-02,4.154638200998306274e-02,4.282791540026664734e-02,4.028378799557685852e-02,9.594792127609252930e-02,3.275333344936370850e-02,6.522668153047561646e-02,5.717130005359649658e-02,8.115383982658386230e-02,4.317113012075424194e-02,4.886096343398094177e-02,4.095678403973579407e-02,5.405687540769577026e-02,2.475949525833129883e-01,1.825435161590576172e-01,1.714046001434326172e-01,2.035677433013916016e-01,2.238041162490844727e-01,2.039573192596435547e-01,2.478584051132202148e-01,1.597818136215209961e-01,1.950597167015075684e-01,2.006058692932128906e-01,2.062349319458007812e-01,1.624246835708618164e-01,2.340201139450073242e-01,1.887123584747314453e-01,2.424858808517456055e-01,4.145425558090209961e+00,4.157305240631103516e+00,4.145651102066040039e+00,4.181704521179199219e+00,4.155174493789672852e+00,4.140284061431884766e+00,4.173759460449218750e+00,4.149494886398315430e+00,4.539008140563964844e+00,4.163071632385253906e+00,4.159484863281250000e+00,4.208417892456054688e+00,4.183013916015625000e+00,4.205421924591064453e+00,4.748238086700439453e+00
2.630000000000000000e+02,4.132193699479103088e-02,3.063987381756305695e-02,4.414892941713333130e-02,2.780880965292453766e-02,4.683722555637359619e-02,4.174705967307090759e-02,6.008988618850708008e-02,2.611177787184715271e-02,4.884283244609832764e-02,2.828835509717464447e-02,3.422362729907035828e-02,3.708247095346450806e-02,8.703465759754180908e-02,3.032511845231056213e-02,3.556976467370986938e-02,1.477140188217163086e-01,1.413314342498779297e-01,2.001949548721313477e-01,1.254968643188476562e-01,1.398603916168212891e-01,2.031223773956298828e-01,2.345372438430786133e-01,1.374851465225219727e-01,2.532660961151123047e-01,1.502138376235961914e-01,1.752440929412841797e-01,1.779096126556396484e-01,1.541038751602172852e-01,1.317281723022460938e-01,1.995533704757690430e-01,4.338868141174316406e+00,4.131621599197387695e+00,4.400414466857910156e+00,4.180868148803710938e+00,4.144179821014404297e+00,4.191948652267456055e+00,4.163788795471191406e+00,4.165232896804809570e+00,4.220630168914794922e+00,4.164094209671020508e+00,4.150280952453613281e+00,4.188159465789794922e+00,4.164958953857421875e+00,4.195421218872070312e+00,4.200964212417602539e+00
